song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
8.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПИРЯТИНСЬКІЙ ПОПОВИЧ АЛЕКСѢЙ;дума;поч. ХІХ ст.;Ломиковський В.;Полтавщина;кобзар Іван;
8.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;АЛЕКСѢЕ ПОПОВИЧЕ ИЛИ БУРѢ, ПРЕТЕРПѢННОЙ КОЗАКАМИ НА МОРѢ;дума;1914 р.;Цертелєв М.;Полтавщина;кобзар;
8.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ЧЕРНОМОРСКАЯ БУРЯ;дума;;;;;
8.4_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;;Срезневський І.;;кобзар;
8.5_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ОЛЕКСІЯ ПОПОВИЧА;дума;;Куліш П.;;кобзар;
8.6_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;;Куліш П.;с. Александрівка Лубенського повіту Полтавської губернії (нині Лубенського району Полтавської області);Кононенко Ф.;
8.7_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;поч. 1840-і рр.;Костомаров М.;м. Харків;кобзар;
8.8_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;;Білозерський М.;;кобзар;
8.9_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ОЛИКСІЙ ПОПОВИЧЪ;дума;;;Харківська губернія;лірник;
8.10_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;;Стахович М.;с. Богдани Пирятинського повіту Полтавської губернії;кобзар;
8.11_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;;;с. Зеленьки Канівського повіту Київської губернії (нині Обухівського району Київської області);кобзар;
